0.0020, 0.0025, 0.015, 0.01, -4.0E-5, -1.0E-4
-0.0023, 3.0E-4, 0.022, -0.011, 5.0E-5, 3.0E-4
0.0059, -6.0E-4, 0.014, -0.0050, 1.7E-4, -2.0E-4
0.0046, 1.0E-4, 0.011, 0.015, -9.0E-5, -2.0E-4
-0.0076, 0.0012, 0.01, 0.0010, -1.0E-4, 2.0E-4
-0.0073, 0.0013, 0.01, -0.013, 6.0E-5, 1.0E-4
0.0054, 0.0027, 0.017, -0.022, 1.4E-4, -1.0E-4
0.0061, 0.0018, 0.019, -0.0080, -1.0E-5, -1.0E-4
-0.0038, 8.0E-4, 0.015, -0.014, 1.0E-5, 1.0E-4
0.0041, 0.0012, 0.013, -0.011, 5.0E-5, 1.0E-4
0.0058, 0.0012, 0.014, 0.0020, 4.0E-5, -1.0E-4
0.0056, 0.0013, 0.014, 0.01, -4.0E-5, -1.0E-4
-0.0067, 1.0E-4, 0.012, 0.0040, -1.1E-4, 2.0E-4
0.0042, 0.0027, 0.0080, -0.0070, 9.0E-5, -2.0E-4
-0.0033, 4.0E-4, 0.013, -0.013, 0.0, 1.0E-4
0.0044, 0.0015, 0.0090, -0.0010, 1.0E-5, -1.0E-4
0.0044, 4.0E-4, 0.0080, 0.01, 8.0E-5, -2.0E-4
-0.0047, -4.0E-4, 0.016, 0.0080, -8.0E-5, 2.0E-4
0.0047, -2.0E-4, 0.0030, 0.0050, 1.4E-4, -1.0E-4
0.0059, 0.0017, 0.0050, 0.013, 4.0E-5, -2.0E-4
-0.0054, 7.0E-4, 0.017, 0.015, -1.1E-4, 1.0E-4
-0.0061, 8.0E-4, 0.017, 0.0050, -2.0E-5, 1.0E-4
0.0043, -4.0E-4, 0.0070, -0.0060, 1.3E-4, -2.0E-4
-0.0051, 0.0014, 0.011, -0.014, -3.0E-5, 2.0E-4
0.0067, 2.0E-4, 0.01, 0.0, 4.0E-5, -2.0E-4
0.0048, 0.0012, 0.011, 0.011, -1.7E-4, 1.0E-4
-0.0038, 8.0E-4, 0.011, 0.015, -2.0E-4, 1.0E-4
-0.0067, 1.0E-4, 0.0090, 0.0060, -1.4E-4, 2.0E-4
0.0053, 7.0E-4, 0.0050, -0.0020, 4.0E-5, -1.0E-4
0.0031, 0.0019, 0.0080, 0.01, -1.1E-4, -2.0E-4
-0.0065, 0.0022, 0.014, 0.0050, -1.7E-4, 1.0E-4
-0.0068, -8.0E-4, 0.011, -0.01, 1.0E-4, 2.0E-4
0.0067, 0.0020, 0.0030, -0.0040, 8.0E-5, -1.0E-4
0.0044, 0.0023, 0.0070, 0.011, -1.3E-4, -2.0E-4
-0.0088, 0.0016, 0.014, -0.0090, -1.0E-4, 3.0E-4
-0.0047, -1.0E-4, 0.012, -0.028, 2.4E-4, 1.0E-4
0.0057, -1.0E-4, 0.0070, -0.026, 2.2E-4, -1.0E-4
0.0088, 1.0E-4, 0.0040, -0.0040, 3.0E-5, -1.0E-4
0.0068, 0.0013, 0.0060, 0.013, -1.4E-4, -1.0E-4
-0.0074, 0.0014, 0.011, 0.0060, -1.0E-4, 1.0E-4
0.0050, 0.0010, 0.012, -0.022, 1.6E-4, -1.0E-4
-0.0045, 5.0E-4, 0.011, -0.011, -5.0E-5, 1.0E-4
-0.0058, 0.0016, 0.0090, -0.014, -5.0E-5, 2.0E-4
0.0080, 0.0011, 0.01, -0.0050, 8.0E-5, -1.0E-4
0.0054, 0.0014, 0.012, 0.015, -1.4E-4, -1.0E-4
-0.0036, 0.0015, 0.015, 0.019, -1.7E-4, 1.0E-4
-0.0061, 0.0014, 0.017, 0.0020, -3.0E-5, 1.0E-4
-0.0035, -5.0E-4, 0.017, -0.012, 1.2E-4, 1.0E-4
0.0065, -1.0E-4, 0.012, -0.0030, 1.4E-4, -2.0E-4
0.0023, 0.0012, 0.012, 0.027, -1.5E-4, -2.0E-4
-0.0052, 9.0E-4, 0.013, 0.023, -2.9E-4, 2.0E-4
-0.0038, -8.0E-4, 0.0070, -0.01, 1.2E-4, 1.0E-4
0.0045, 0.0019, 0.0, -0.0060, 1.1E-4, -2.0E-4
-0.0040, 0.0015, 0.0090, -0.01, -1.0E-5, 1.0E-4
0.0051, 0.0011, 0.0080, -0.0070, 1.1E-4, -1.0E-4
0.0022, 0.0014, 0.01, 0.01, -1.0E-4, -1.0E-4
-0.0034, 0.0016, 0.013, 0.0080, -1.3E-4, 2.0E-4
0.0039, 2.0E-4, 0.0080, 0.01, 1.0E-5, -1.0E-4
-0.0059, 8.0E-4, 0.011, 0.0060, -1.6E-4, 1.0E-4
-0.0053, 4.0E-4, 0.01, -0.01, 7.0E-5, 1.0E-4
0.0059, 0.0021, 0.0030, 0.0030, 1.0E-5, -2.0E-4
-0.0078, 0.0020, 0.01, 0.0020, -2.2E-4, 3.0E-4
0.0065, 2.0E-4, 0.0040, -0.014, 1.8E-4, -1.0E-4
0.0084, 0.0023, 0.0040, 0.0020, 4.0E-5, -3.0E-4
0.0042, 0.0028, 0.0090, 0.017, -2.8E-4, 1.0E-4
-0.0046, 0.0026, 0.018, 0.015, -1.6E-4, 1.0E-4
-0.0022, 0.0020, 0.0010, -0.01, -2.0E-5, 1.0E-4
0.0040, 0.0013, 0.0040, -0.0070, 1.1E-4, -2.0E-4
-0.0031, 0.0012, 0.016, -0.01, 0.0, 1.0E-4
